epoch	train_loss	train_dice	train_grad	test_loss	test_dice	best_epoch	best_test_dice
17	0.3013	0.1489	2.4267	0.2376	0.1118	4	0.1226
18	0.293	0.1567	2.6411	0.235	0.1131	4	0.1226
19	0.2853	0.1597	2.5857	0.2291	0.1238	19	0.1238
20	0.2711	0.1732	2.105	0.2296	0.1158	19	0.1238
21	0.2642	0.1884	2.3704	0.2275	0.1168	19	0.1238
22	0.255	0.1923	2.3469	0.2259	0.1181	19	0.1238
23	0.2439	0.213	2.0414	0.2252	0.1181	19	0.1238
24	0.2401	0.2175	2.3721	0.2241	0.1189	19	0.1238
25	0.2288	0.2343	1.8633	0.2209	0.1297	25	0.1297
26	0.2258	0.2431	1.9937	0.2201	0.1312	26	0.1312
27	0.2191	0.2615	1.8471	0.2193	0.1322	27	0.1322
28	0.2123	0.2671	2.0083	0.218	0.1336	28	0.1336
29	0.2081	0.2737	1.8688	0.2188	0.1277	28	0.1336
0	0.4632	0.0327	2.4175	0.1788	0.1033	0	0.1033
1	0.2722	0.1334	1.1988	0.1874	0.0423	0	0.1033
2	0.2408	0.0482	0.8955	0.1647	0.0085	0	0.1033
3	0.2375	0.0736	1.6456	0.1753	0.0283	0	0.1033
4	0.2318	0.0084	0.7361	0.1608	0.0006	0	0.1033
0	0.4182	0.0289	2.0618	0.2805	0.0166	0	0.0166
1	0.266	0.0001	0.7201	0.311	0.0471	1	0.0471
2	0.2456	0.0	0.6342	0.3059	0.0473	2	0.0473
3	0.2333	0.0883	0.6867	0.2476	0.1349	3	0.1349
4	0.2287	0.0234	0.5721	0.3173	0.1876	4	0.1876
5	0.2131	0.1102	0.595	0.2927	0.1472	4	0.1876
6	0.223	0.1897	0.8409	0.2387	0.0719	4	0.1876
7	0.223	0.1859	0.8223	0.2999	0.271	7	0.271
8	0.1922	0.3465	0.5393	0.2975	0.2334	7	0.271
9	0.177	0.457	0.6076	0.2993	0.2326	7	0.271
10	0.1786	0.4671	0.7375	0.2599	0.3133	10	0.3133
11	0.1782	0.4187	0.6873	0.2807	0.3555	11	0.3555
12	0.1564	0.5653	0.6407	0.2732	0.3904	12	0.3904
0	0.5014	0.0262	2.364	0.2957	0.1922	0	0.1922
1	0.2807	0.0411	0.8697	0.261	0.1117	0	0.1922
2	0.2571	0.0311	0.804	0.2818	0.1621	0	0.1922
3	0.2404	0.0144	0.6924	0.2792	0.2114	3	0.2114
4	0.2251	0.0598	0.53	0.2754	0.1801	3	0.2114
5	0.2103	0.1459	0.6473	0.2723	0.1875	3	0.2114
6	0.217	0.1372	0.8529	0.277	0.0695	3	0.2114
7	0.2098	0.1738	0.9952	0.2797	0.2525	7	0.2525
8	0.2021	0.1847	0.689	0.292	0.1268	7	0.2525
9	0.198	0.2357	0.7081	0.3044	0.1905	7	0.2525
10	0.1741	0.4469	0.6261	0.3068	0.3214	10	0.3214
11	0.1635	0.4926	0.6257	0.2858	0.2982	10	0.3214
12	0.1458	0.6172	0.6958	0.3054	0.3765	12	0.3765
13	0.1422	0.64	0.8323	0.3237	0.2668	12	0.3765
14	0.1355	0.6586	0.7118	0.3575	0.2828	12	0.3765
15	0.1232	0.6956	0.6332	0.3365	0.2452	12	0.3765
16	0.1168	0.6995	0.6291	0.3989	0.2592	12	0.3765
17	0.0949	0.7751	0.5767	0.3719	0.3407	12	0.3765
18	0.0902	0.7915	0.5952	0.3464	0.3967	18	0.3967
19	0.0913	0.7984	0.6862	0.4032	0.2863	18	0.3967
20	0.0771	0.8156	0.554	0.5326	0.2426	18	0.3967
21	0.0741	0.8207	0.6194	0.4511	0.3417	18	0.3967
22	0.0726	0.832	0.5111	0.4615	0.3011	18	0.3967
23	0.067	0.8379	0.4165	0.4804	0.3003	18	0.3967
24	0.0594	0.8617	0.4361	0.4911	0.3189	18	0.3967
25	0.0606	0.8643	0.6317	0.4246	0.3752	18	0.3967
26	0.0589	0.8645	0.4869	0.4787	0.3438	18	0.3967
27	0.0539	0.8733	0.3788	0.4641	0.36	18	0.3967
28	0.0498	0.8877	0.4079	0.504	0.3308	18	0.3967
29	0.0494	0.8857	0.4683	0.5125	0.3447	18	0.3967
30	0.05	0.8853	0.4561	0.4313	0.3533	18	0.3967
31	0.0457	0.8919	0.4044	0.4888	0.3911	18	0.3967
32	0.0395	0.9098	0.3743	0.4661	0.4029	32	0.4029
33	0.0462	0.8942	0.4547	0.5121	0.3598	32	0.4029
34	0.044	0.8941	0.3919	0.4417	0.3927	32	0.4029
35	0.0462	0.8897	0.3519	0.5668	0.3499	32	0.4029
36	0.0475	0.8921	0.4271	0.5066	0.3819	32	0.4029
37	0.045	0.8936	0.4038	0.4727	0.3967	32	0.4029
38	0.0401	0.9063	0.3338	0.5417	0.371	32	0.4029
39	0.034	0.9196	0.3481	0.6006	0.3479	32	0.4029
40	0.0367	0.9171	0.3713	0.4976	0.4162	40	0.4162
41	0.0399	0.9075	0.4401	0.4728	0.3844	40	0.4162
42	0.0341	0.9173	0.3161	0.4639	0.4133	40	0.4162
43	0.0307	0.9289	0.2518	0.5395	0.4098	40	0.4162
44	0.0295	0.9312	0.2612	0.5761	0.3711	40	0.4162
45	0.027	0.9358	0.2024	0.5049	0.3902	40	0.4162
46	0.0255	0.9406	0.1799	0.5209	0.3748	40	0.4162
47	0.0228	0.9448	0.1585	0.5715	0.3695	40	0.4162
